record_id,full_name,email,phone,address,bank_name,card_number,expiry_date,cvv,account_status,breach_source
62687f0a-7176-4d00-a99f-23b844fae163,Mary Harris,mary.harris837@example.com,+16496167514,269 Main Street,Unity Finance,4111919231191426,05/26,557,Expired,Malware Attack
89422f2b-9f82-499a-bce3-18ec93dc794a,Jennifer Smith,jennifer.smith677@example.com,+10000978941,291 Main Street,Global Trust Bank,3400834255327311,03/26,559,Active,SQL Injection
86cf318b-ea4f-4c90-bbc3-74690dd550f6,Elizabeth Brown,elizabeth.brown239@example.com,+12454372607,272 Main Street,Metro Capital Bank,4111882628826329,07/29,199,Expired,Insider Leak
e4b4a831-20ed-4614-bac8-a1368bbcad33,Michael Jackson,michael.jackson285@example.com,+18472901423,718 Main Street,Prime National Bank,3400205883124201,01/28,512,Blocked,SQL Injection
e88b707c-5111-4483-b5e9-d34e15a863ac,Linda Jackson,linda.jackson800@example.com,+13288624898,727 Main Street,Metro Capital Bank,3000111160019969,11/27,468,Expired,Malware Attack
5b9fdfda-3c79-400b-b00f-2b60bf6b9342,Linda Harris,linda.harris904@example.com,+14193339253,865 Main Street,Global Trust Bank,3400407746262363,07/26,787,Expired,Malware Attack
455a7e22-43eb-456c-8284-f820e14434ac,Michael Anderson,michael.anderson700@example.com,+13708366678,900 Main Street,Metro Capital Bank,3400241223612068,01/29,465,Active,Insider Leak
402e1f51-aaeb-4ad4-b515-95f56115a82b,William Harris,william.harris900@example.com,+13358970187,171 Main Street,Unity Finance,5500086639908998,05/29,997,Blocked,Phishing
37355d62-960c-4d71-8d83-32dbb2676f46,John Johnson,john.johnson257@example.com,+11282180284,624 Main Street,Unity Finance,3400478844766776,07/26,492,Active,Malware Attack
c78f614a-ebbe-44df-8a67-b32ef7964f06,Linda Anderson,linda.anderson127@example.com,+14773870531,962 Main Street,Metro Capital Bank,4111164052987304,04/29,625,Active,SQL Injection
e623f4fc-18d1-4511-a721-488697b40119,Linda Johnson,linda.johnson683@example.com,+13355216346,946 Main Street,Prime National Bank,3400208518957872,01/29,192,Active,Phishing
0e27ab06-aab3-426a-9136-a43a3fb511e9,Linda White,linda.white370@example.com,+16847188251,284 Main Street,Prime National Bank,3400698919348529,04/30,280,Active,Phishing
9f4be4e3-f363-4234-80f2-385395a52ead,James Mwangi,james.mwangi541@example.com,+13293271154,158 Main Street,Unity Finance,5500227112263672,03/26,490,Active,Insider Leak
c4c610e0-3327-4bc7-affd-93e08c6822d7,Robert Mwangi,robert.mwangi291@example.com,+16056640508,579 Main Street,Unity Finance,3000200603586158,08/27,885,Blocked,Insider Leak
fdf1eaee-3d3e-4406-9092-2045bbb44c7d,Michael Brown,michael.brown956@example.com,+11834791546,718 Main Street,Prime National Bank,3400281870143099,12/27,106,Active,Phishing
6dac36b8-cc99-4523-834a-670ded1cf5c2,Linda Harris,linda.harris316@example.com,+19959719381,489 Main Street,Global Trust Bank,4111948996456322,12/29,105,Expired,Phishing
5e8ab8d6-b365-43f6-a034-3ae0bf056b5f,James Mwangi,james.mwangi116@example.com,+14864787402,670 Main Street,Metro Capital Bank,3000913789993546,07/27,619,Active,Insider Leak
de007b01-3f6f-4616-bb99-2af368bce482,James Jackson,james.jackson381@example.com,+10595308010,973 Main Street,Global Trust Bank,4111417252528910,11/26,505,Active,Malware Attack
90ef6fb8-6cde-4b42-9d6b-2c536304eb53,Patricia Mwangi,patricia.mwangi586@example.com,+17987086696,369 Main Street,Metro Capital Bank,4111159975071851,04/30,256,Expired,Phishing
605ccc9f-5e41-493a-a100-92ebbe7004a7,Michael Harris,michael.harris287@example.com,+10984384427,302 Main Street,Prime National Bank,4111195706609104,02/27,270,Blocked,Malware Attack
cf756abb-377e-477d-aa8d-9eca8a1c2a1a,Patricia Johnson,patricia.johnson105@example.com,+17321699494,488 Main Street,Unity Finance,4111141432614200,02/26,354,Expired,Insider Leak
011ba147-5c0f-4932-ba51-715bbe2f539f,Michael Jackson,michael.jackson940@example.com,+16036866383,967 Main Street,Prime National Bank,3000118490589548,07/30,839,Blocked,SQL Injection
f2bb976d-2bba-4087-bdfc-4ea52bd8653f,Michael Johnson,michael.johnson307@example.com,+13509809985,831 Main Street,Unity Finance,4111738480512327,06/30,606,Active,Phishing
80f2292f-9bd9-45be-8adc-11ddd811930b,Michael Anderson,michael.anderson398@example.com,+12703339261,586 Main Street,Unity Finance,3400395006566930,06/26,191,Expired,Malware Attack
6a61b5b7-c6b5-4a4c-8c38-6d988d26add3,James Johnson,james.johnson452@example.com,+19927427523,314 Main Street,Global Trust Bank,4111087683957631,06/26,722,Blocked,Insider Leak
ff61104d-a2dc-451c-80b0-e5e7619cb4f9,Robert Harris,robert.harris35@example.com,+12315129202,101 Main Street,Metro Capital Bank,3000301753451285,09/28,914,Expired,Insider Leak
dcee71c4-3161-4909-80df-d0ad433d8832,Linda Anderson,linda.anderson936@example.com,+11684817833,827 Main Street,Metro Capital Bank,5500896282674994,05/26,222,Blocked,Insider Leak
ba842ab6-32ad-4891-a5d7-d7380ab74e80,Mary Taylor,mary.taylor518@example.com,+18265847944,305 Main Street,Global Trust Bank,5500119295396998,12/27,867,Blocked,Insider Leak
99e42928-aad7-4896-a741-bd8376709f03,Robert White,robert.white13@example.com,+19090234880,496 Main Street,Metro Capital Bank,5500460425822971,02/28,312,Active,Insider Leak
ce47a8a3-7c46-45fc-a855-93a0a32bf06e,Patricia White,patricia.white516@example.com,+15961469695,707 Main Street,Unity Finance,3000746309941405,02/28,734,Active,Malware Attack
90f7daad-8fa0-4bc5-aca3-c8f313536fc9,Robert Thomas,robert.thomas690@example.com,+11296857494,738 Main Street,Global Trust Bank,3000473156123712,12/30,905,Blocked,SQL Injection
ef2a3719-15b5-4f36-b8fc-4bcead167956,Linda Brown,linda.brown306@example.com,+13608539482,283 Main Street,Metro Capital Bank,3400648409502926,09/30,737,Expired,SQL Injection
daea766b-82e3-4548-9460-4892e9274222,Linda Smith,linda.smith749@example.com,+19261720766,288 Main Street,Global Trust Bank,4111609521882567,02/27,585,Active,Insider Leak
b74627b3-c1da-4b01-8fbb-0712ca8c402b,Elizabeth Anderson,elizabeth.anderson759@example.com,+17300439628,861 Main Street,Metro Capital Bank,3000537133208664,09/29,571,Active,Phishing
106f5993-fabd-460e-ba71-09ddf4e501b1,James Anderson,james.anderson922@example.com,+11621956734,458 Main Street,Prime National Bank,3400325623383643,05/30,265,Blocked,Insider Leak
b4886105-b23d-4424-b36d-24b95c6b334c,John Smith,john.smith484@example.com,+19165075263,988 Main Street,Unity Finance,4111489932196020,03/28,772,Expired,Malware Attack
8d5fa13a-42c1-4e2e-a947-7a1b9d0286b4,Jennifer Jackson,jennifer.jackson747@example.com,+11423576894,175 Main Street,Prime National Bank,4111091238867241,10/29,771,Expired,Malware Attack
488e2258-c172-498a-9ecb-52c45c36eeab,Linda Johnson,linda.johnson606@example.com,+10991538468,226 Main Street,Unity Finance,4111869231503473,07/26,639,Expired,Insider Leak
5b4f27bf-8252-46ca-8aa9-44e69df2ada6,William Thomas,william.thomas489@example.com,+17208037992,360 Main Street,Global Trust Bank,4111237879606865,08/30,162,Expired,Phishing
7fd3a7ee-145a-46eb-9cdd-6670a4dab16b,Patricia Brown,patricia.brown175@example.com,+12599381193,174 Main Street,Prime National Bank,3000536075911162,06/28,322,Active,Malware Attack
75e09359-cd73-406a-8782-8b85a1c5c35c,John Johnson,john.johnson410@example.com,+13289214579,866 Main Street,Prime National Bank,5500005846724417,12/27,947,Expired,Phishing
d80b2687-685e-42ad-964b-2f0a93e5c9f0,Michael Taylor,michael.taylor793@example.com,+10128349537,643 Main Street,Global Trust Bank,3000173913783637,02/29,344,Blocked,Malware Attack
daaea20d-353b-4bf6-aa8e-ac1a5cc49a70,Patricia Thomas,patricia.thomas694@example.com,+19981785622,533 Main Street,Global Trust Bank,5500041224941269,06/28,827,Expired,Insider Leak
85bd6cbc-c9dd-4fcd-9a8e-6efc3c5f144e,Mary Taylor,mary.taylor356@example.com,+10595347331,402 Main Street,Metro Capital Bank,3000611368975646,02/30,146,Blocked,Malware Attack
fae0e39b-f89d-47a6-9eab-7ee8561b7cee,John Johnson,john.johnson752@example.com,+11744639117,158 Main Street,Unity Finance,3400080021203641,12/26,816,Expired,Phishing
fca45eee-cb85-4f4b-b6b5-0945b086fda6,Jennifer Mwangi,jennifer.mwangi346@example.com,+13790198636,164 Main Street,Metro Capital Bank,5500554406131806,08/28,382,Blocked,Phishing
65acae8b-9d9f-4f80-8fe2-81961551ad8e,John Taylor,john.taylor332@example.com,+10386023018,492 Main Street,Metro Capital Bank,4111405365884495,08/28,879,Expired,Malware Attack
b8fce270-d5c2-4710-828b-c5843547a30f,Michael Johnson,michael.johnson362@example.com,+19368657265,706 Main Street,Metro Capital Bank,5500156600058549,03/30,391,Expired,SQL Injection
5f2fc667-12b2-4e3d-b726-6699ed3957f0,Mary White,mary.white65@example.com,+18908070022,959 Main Street,Prime National Bank,4111373329707945,10/27,902,Blocked,Phishing
